                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.77434,                 0.5023,                 1.0995,                0.88051,                 0.8471,                 0.9022,                0.66256,                0.97599,                0.54334,                 1.1992,               0.002674,               0.002674,               0.002674
                    151,                 0.7741,                0.49534,                 1.0929,                0.87754,                0.84874,                0.90186,                0.66272,                0.97614,                0.54347,                 1.1999,              0.0026245,              0.0026245,              0.0026245
                    152,                0.76977,                0.49199,                 1.0921,                0.88057,                0.84814,                0.90239,                0.66318,                0.97666,                0.54311,                 1.2011,               0.002575,               0.002575,               0.002575
                    153,                0.76255,                0.49156,                 1.0854,                0.88076,                0.84849,                0.90214,                0.66311,                0.97589,                0.54289,                 1.2005,              0.0025255,              0.0025255,              0.0025255
                    154,                0.76279,                0.48913,                 1.0869,                0.88291,                0.84679,                0.90204,                0.66296,                0.97579,                 0.5424,                 1.2008,               0.002476,               0.002476,               0.002476
                    155,                0.76082,                0.48527,                 1.0865,                0.88265,                0.84638,                0.90167,                0.66301,                0.97642,                0.54254,                 1.2016,              0.0024265,              0.0024265,              0.0024265
                    156,                0.75924,                0.48526,                 1.0848,                0.88582,                0.84577,                0.90195,                0.66341,                0.97687,                0.54356,                 1.2023,               0.002377,               0.002377,               0.002377
                    157,                0.75758,                0.48263,                 1.0855,                0.88597,                 0.8462,                0.90173,                0.66316,                0.97753,                 0.5437,                 1.2034,              0.0023275,              0.0023275,              0.0023275
                    158,                0.75134,                0.48136,                 1.0851,                0.88635,                0.84493,                0.90201,                0.66328,                0.97719,                0.54381,                 1.2039,               0.002278,               0.002278,               0.002278
                    159,                0.74635,                0.47405,                  1.078,                 0.8847,                0.84687,                0.90199,                0.66321,                0.97803,                0.54377,                 1.2055,              0.0022285,              0.0022285,              0.0022285
                    160,                0.73977,                0.46677,                 1.0841,                 0.8861,                0.84509,                0.90203,                0.66285,                0.97853,                0.54428,                 1.2069,              0.0022285,              0.0022285,              0.0022285
