                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0208,                0.80622,                 1.2864,                0.86308,                0.81793,                0.89169,                0.62919,                0.99688,                0.63142,                 1.2033,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0215,                0.80383,                 1.2866,                0.86747,                0.81508,                0.89202,                0.62977,                0.99556,                0.62938,                  1.202,               0.008317,               0.008317,               0.008317
                     37,                 1.0225,                0.80265,                 1.2869,                0.86538,                0.81763,                0.89173,                0.63028,                0.99386,                0.62816,                    1.2,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0178,                0.79415,                 1.2826,                0.86804,                0.81487,                0.89178,                0.63085,                0.99266,                0.62675,                 1.1992,               0.008218,               0.008218,               0.008218
                     39,                 1.0151,                0.78948,                 1.2818,                0.86855,                0.81267,                0.89205,                0.63137,                0.99163,                0.62458,                 1.1983,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0123,                 0.7863,                 1.2811,                0.86414,                0.81775,                0.89254,                 0.6321,                0.99112,                0.62319,                  1.198,               0.008119,               0.008119,               0.008119
                     41,                 1.0161,                0.78969,                 1.2814,                0.86358,                0.82036,                0.89272,                0.63261,                0.99032,                0.62236,                 1.1974,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.002,                0.77735,                 1.2717,                 0.8625,                0.82285,                0.89308,                0.63336,                0.98982,                0.62082,                 1.1968,                0.00802,                0.00802,                0.00802
                     43,                 1.0043,                0.77457,                 1.2701,                0.86344,                0.82055,                0.89295,                0.63343,                0.98856,                 0.6207,                 1.1962,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0082,                0.77305,                 1.2749,                0.86675,                 0.8177,                0.89302,                0.63395,                0.98781,                 0.6198,                 1.1956,               0.007921,               0.007921,               0.007921
                     45,                 1.0003,                0.76875,                 1.2712,                0.86759,                0.81714,                0.89355,                0.63444,                0.98706,                0.61908,                 1.1953,              0.0078715,              0.0078715,              0.0078715
                     46,                0.99457,                 0.7602,                 1.2687,                0.86895,                0.81613,                0.89371,                 0.6347,                0.98665,                0.61767,                 1.1949,               0.007822,               0.007822,               0.007822
                     47,                0.99519,                0.76109,                 1.2667,                0.87128,                0.81659,                0.89442,                0.63527,                0.98606,                 0.6174,                 1.1942,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.9956,                0.75549,                 1.2647,                 0.8677,                0.82066,                0.89432,                0.63553,                0.98571,                0.61657,                 1.1941,               0.007723,               0.007723,               0.007723
                     49,                0.99181,                0.75565,                 1.2618,                0.86896,                 0.8217,                0.89504,                0.63577,                0.98568,                0.61537,                 1.1943,              0.0076735,              0.0076735,              0.0076735
                     50,                0.99218,                0.75524,                 1.2627,                0.86847,                0.82206,                0.89523,                0.63638,                0.98522,                0.61457,                  1.194,               0.007624,               0.007624,               0.007624
                     51,                0.99077,                0.75496,                 1.2605,                0.86996,                0.82017,                0.89518,                0.63662,                0.98536,                0.61323,                 1.1942,              0.0075745,              0.0075745,              0.0075745
                     52,                0.99305,                0.75033,                 1.2621,                0.87093,                0.81991,                0.89516,                0.63692,                0.98457,                0.61223,                 1.1934,               0.007525,               0.007525,               0.007525
                     53,                0.98496,                 0.7436,                 1.2539,                0.87211,                0.81784,                0.89575,                 0.6372,                 0.9837,                0.61153,                 1.1925,              0.0074755,              0.0074755,              0.0074755
                     54,                0.98423,                 0.7417,                 1.2546,                0.87569,                0.81441,                0.89557,                0.63759,                 0.9834,                0.61031,                 1.1922,               0.007426,               0.007426,               0.007426
                     55,                0.97998,                0.73304,                 1.2515,                0.87403,                0.81422,                0.89526,                0.63812,                0.98328,                0.60948,                 1.1919,              0.0073765,              0.0073765,              0.0073765
                     56,                0.97962,                0.73614,                 1.2496,                 0.8715,                0.81898,                 0.8958,                0.63834,                0.98312,                0.60839,                 1.1916,               0.007327,               0.007327,               0.007327
                     57,                 0.9781,                0.73286,                 1.2491,                0.87124,                0.81606,                0.89569,                0.63871,                0.98277,                0.60722,                 1.1915,              0.0072775,              0.0072775,              0.0072775
                     58,                0.97313,                0.72908,                 1.2473,                0.87147,                0.81638,                0.89577,                0.63871,                0.98208,                0.60604,                 1.1912,               0.007228,               0.007228,               0.007228
                     59,                0.96878,                0.72899,                 1.2471,                0.87031,                0.81895,                0.89621,                0.63899,                0.98136,                0.60492,                 1.1908,              0.0071785,              0.0071785,              0.0071785
                     60,                0.96932,                0.72706,                 1.2448,                0.87184,                0.81919,                0.89653,                0.63946,                0.98017,                0.60348,                 1.1897,               0.007129,               0.007129,               0.007129
                     61,                0.96617,                0.72249,                 1.2418,                0.87171,                0.81935,                0.89665,                 0.6398,                 0.9803,                0.60294,                 1.1897,              0.0070795,              0.0070795,              0.0070795
                     62,                0.96217,                 0.7171,                 1.2389,                 0.8722,                0.82104,                0.89693,                0.64048,                 0.9799,                0.60173,                  1.189,                0.00703,                0.00703,                0.00703
                     63,                0.96079,                0.71391,                 1.2384,                0.87271,                0.82147,                0.89725,                0.64132,                0.97907,                0.60063,                 1.1883,              0.0069805,              0.0069805,              0.0069805
